'goals','hat_y_g','hat_y_xG'
0.0,1.4045,2.2
4.0,1.21050,1.2
2.0,1.893,2.0
3.0,1.386,1.4
1.0,1.58649,2.0
0.0,1.24149,1.0
1.0,1.30749,1.3
1.0,1.5645,2.1
2.0,2.2925,1.7
1.0,1.77349,2.4
0.0,1.47699,1.7
2.0,0.81300,0.6
2.0,1.2215,0.8
2.0,1.4645,0.9
2.0,1.51500,1.6
2.0,1.4205,1.9
0.0,1.2695,0.8
2.0,1.36999,1.8
2.0,1.9495,2.5
2.0,1.3695,1.6
0.0,1.7625,2.3
0.0,2.55249,1.9
0.0,1.723,1.6
1.0,1.482,2.1
1.0,1.358,1.3
2.0,0.966,0.6
0.0,1.61649,1.9
2.0,1.22,1.7
2.0,1.056,1.0
0.0,1.721,2.1
2.0,1.8485,2.0
2.0,1.84750,2.3
3.0,1.69898,1.4
0.0,1.1425,1.1
1.0,1.434,1.6
1.0,1.541,1.9
2.0,1.362,1.6
1.0,1.5715,2.0
1.0,1.20498,1.0
2.0,2.032,2.2
2.0,1.422,1.5
1.0,1.74250,2.0
1.0,2.009,1.6
1.0,1.8165,2.3
0.0,1.034,1.0
2.0,1.5065,2.0
2.0,1.94250,2.3
3.0,2.0425,2.1
4.0,1.4495,1.0
5.0,1.5185,1.7
3.0,1.90500,1.5
2.0,1.2525,1.0
1.0,2.0285,2.1
0.0,1.88849,2.1
1.0,1.55300,1.7
1.0,0.97000,0.8
2.0,1.984,2.3
0.0,1.599,1.6
1.0,1.72800,1.9
2.0,1.74299,2.1
0.0,1.82398,2.0
0.0,1.568,2.0
4.0,1.06198,1.0
4.0,1.65249,1.4
0.0,1.52450,1.7
2.0,1.996,1.8
3.0,1.5695,2.0
0.0,1.93250,2.3
2.0,1.353,1.8
3.0,1.80798,1.3
2.0,2.04697,2.8
2.0,1.832,2.4
1.0,1.059,1.1
3.0,1.87199,2.2
1.0,1.331,1.7
2.0,1.4475,2.0
6.0,1.5135,1.7
1.0,1.613,2.3
3.0,1.1335,1.9
0.0,1.841,1.8
1.0,1.0595,1.0
2.0,1.5595,1.4
0.0,1.72950,1.8
1.0,1.6225,1.4
0.0,1.5215,2.2
0.0,1.7015,1.9
2.0,1.284,1.6
0.0,1.70850,2.7
